id	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	vernacularName
21384.0	21384.0	21384.0	7315.0	Tillandsia festucoides	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Tillandsia		festucoides		species	
24378.0	24378.0	24378.0	8040.0	Couratari guianensis	Plantae	Magnoliophyta	Magnoliopsida	Lecythidales	Lecythidaceae	Couratari		guianensis		species	Cachimbo, copo hediondo
37072.0	37072.0	37072.0	5845.0	Tabanus secundus	Animalia	Arthropoda	Insecta	Diptera	Tabanidae	Tabanus		secundus		species	Tabanos
35805.0	35805.0	35805.0	10816.0	Sphenia fragilis	Animalia	Mollusca	Bivalvia	Myoida	Myidae	Sphenia		fragilis		species	
53431.0	53431.0	53431.0	71248.0	Sternula antillarum	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sternula		antillarum		species	Charrán chico, charrán menudo
52292.0	52292.0	52292.0	52291.0	Celeus loricatus	Animalia	Chordata	Aves	Piciformes	Picidae	Celeus		loricatus		species	Carpintero canelo
51812.0	51812.0	51812.0	51726.0	Dendrocygna autumnalis	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna		autumnalis		species	Guichiche, piche, pichiche, pijije común
51591.0	51591.0	51591.0	51585.0	Oryzomys couesi	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Oryzomys		couesi		species	ratón o rata de monte
29352.0	29352.0	29352.0	9165.0	Stachytarpheta jamaicensis	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Verbenaceae	Stachytarpheta		jamaicensis		species	
51707.0	51707.0	51707.0	51706.0	Empidonax flaviventris	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Empidonax		flaviventris		species	Mosquerito vientriamarillo
20006.0	20006.0	20006.0	6967.0	Lacmellea panamensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Lacmellea		panamensis		species	Lagarto negro, lagartillo.
20067.0	20067.0	20067.0	6987.0	Ilex haberi	Plantae	Magnoliophyta	Magnoliopsida	Celastrales	Aquifoliaceae	Ilex		haberi		species	Campano
